Iloœæ punktów dla zbioru; Czas obliczeñ dla algorytmu Grahama (ms);Czas obliczeñ dla algorytmu Jarvisa (ms);Punkty na otoczce
1e1;0,0ms;0,0ms;4
1e2;0,0ms;0,0ms;4
1e3;0,0ms;0,0ms;4
1e4;0,0ms;0,0ms;4
1e5;0,97ms;0,0ms;4
1e6;0,0ms;0,0ms;4
1e7;1,02ms;1,98ms;4
1e8;0,0ms;2,0ms;4
1e9;1,0ms;3,0ms;4
1e10;2,0ms;6,0ms;4
1e11;5,0ms;13,0ms;4
1e12;10,0ms;25,0ms;4
1e13;21,0ms;53,0ms;4
1e14;40,0ms;100,97ms;4
1e15;79,03ms;216,34ms;4
1e16;168,24ms;389,97ms;4
1e17;451,0ms;789,43ms;4
1e18;880,0ms;1,65s;4
1e19;1,73s;4,21s;4
1e20;3,34s;6,6s;4
1e21;5,94s;12,63s;4
1e22;11,78s;26,39s;4
